,,,,,,,,,,,,,,,,,,,,
,John Drew\drewjo01,1975,1985,739,29.5,20.7,6.9,1.7,1.4,0.3,0.47,0.175,0.748,68.9,0.152,,,,,
,Tom Gola\golato01,1956,1966,698,32.3,11.3,8,4.2,,,0.431,,0.76,53.2,0.113,,,,,
,Larry Nance\nancela01,1982,1994,920,33.4,17.1,8,2.6,0.9,2.2,0.546,0.145,0.755,109.6,0.171,,,,,
,Randy Smith\smithra01,1972,1983,976,32.2,16.7,3.7,4.6,1.7,0.1,0.47,0.155,0.781,60.1,0.092,,,,,
,Terry Porter\portete01,1986,2002,1274,27.8,12.2,3,5.6,1.2,0.1,0.463,0.386,0.836,110.4,0.15,,,,,
,Rolando Blackman\blackro01,1982,1994,980,32.7,18,3.3,3,0.7,0.3,0.493,0.343,0.84,75.6,0.113,,,,,
,Andy Phillip\phillan01,1948,1958,701,32.2,9.1,4.4,5.4,,,0.368,,0.695,60.8,0.101,,,,,
,Clyde Lovellette\lovelcl01,1954,1964,704,27.1,17,9.5,1.6,,,0.443,,0.757,70.6,0.178,,,,,
,Chris Bosh\boshch01,2004,2016,893,35.8,19.2,8.5,2,0.8,1,0.494,0.335,0.799,106,0.159,,,,,
,Bill Bradley\bradlbi01,1968,1977,742,30.7,12.4,3.2,3.4,0.7,0.2,0.448,,0.84,38.8,0.082,,,,,
,Larry Johnson\johnsla02,1992,2001,707,36.3,16.2,7.5,3.3,0.7,0.4,0.484,0.332,0.766,69.7,0.13,,,,,
,Jermaine O'Neal\onealje01,1997,2014,1011,27.1,13.2,7.2,1.4,0.5,1.8,0.467,0.147,0.715,66,0.116,,,,,
,Andrew Toney\toneyan01,1981,1988,468,26.9,15.9,2.2,4.2,0.8,0.2,0.5,0.342,0.797,26.9,0.103,,,,,
,Reggie Theus\theusre01,1979,1991,1026,33.7,18.5,3.3,6.3,1.2,0.2,0.471,0.252,0.826,66.9,0.093,,,,,
,Elton Brand\brandel01,2000,2016,1058,33,15.9,8.5,2.1,0.9,1.7,0.5,0.095,0.736,109.6,0.151,,,,,
,K.C. Jones\joneskc01,1959,1967,676,25.9,7.4,3.5,4.3,,,0.387,,0.647,38.6,0.106,,,,,
,Jerry Sloan\sloanje01,1966,1976,755,34.1,14,7.4,2.5,2.2,0.2,0.427,,0.722,49.5,0.092,,,,,
,Jamal Mashburn\mashbja01,1994,2004,611,37.3,19.1,5.4,4,1,0.2,0.418,0.345,0.766,43.7,0.092,,,,,
,Bob Rule\rulebo01,1968,1975,403,29.4,17.4,8.3,1.5,0.4,0.4,0.461,,0.686,22.7,0.092,,,,,
,Derrick Coleman\colemde01,1991,2005,781,33.2,16.5,9.3,2.5,0.8,1.3,0.447,0.295,0.769,64.3,0.119,,,,,
,Gilbert Arenas\arenagi01,2002,2012,552,35.1,20.7,3.9,5.3,1.6,0.2,0.421,0.351,0.803,51.3,0.127,,,,,
,Joe Johnson\johnsjo02,2002,2018,1276,34.7,16,4,3.9,0.8,0.2,0.441,0.371,0.802,82.8,0.09,,,,,
,Joe Caldwell\caldwjo01,1965,1970,468,29.6,15.2,5.1,2.7,,,0.459,,0.634,23.9,0.083,,,,,
,Norm Nixon\nixonno01,1978,1989,768,35.5,15.7,2.6,8.3,1.5,0.1,0.483,0.294,0.772,47.6,0.084,,,,,
,Mark Aguirre\aguirma01,1982,1994,923,30,20,5,3.1,0.7,0.3,0.484,0.312,0.741,67.8,0.117,,,,,
,Micheal Ray Richardson\richami01,1979,1986,556,33.4,14.8,5.5,7,2.6,0.4,0.457,0.22,0.69,35.2,0.091,,,,,
,Archie Clark\clarkar01,1967,1976,725,32.5,16.3,3.3,4.8,1.1,0.1,0.48,,0.769,64.7,0.132,,,,,
,Jimmy Walker\walkeji01,1968,1976,698,33.8,16.7,2.7,3.5,1.1,0.2,0.461,,0.829,42.9,0.087,,,,,
,Doug Collins\collido01,1974,1981,415,33.6,17.9,3.2,3.3,1.2,0.3,0.501,0,0.833,38,0.131,,,,,
,Kiki Vandeweghe\vandeki01,1981,1993,810,30.3,19.7,3.4,2.1,0.6,0.3,0.525,0.368,0.872,75.6,0.148,,,,,
,Larry Kenon\kenonla01,1977,1983,503,30.8,17,7.8,2.6,1.3,0.3,0.489,0.1,0.798,36.5,0.113,,,,,
,Alvin Robertson\roberal01,1985,1996,779,31.7,14,5.2,5,2.7,0.4,0.477,0.295,0.743,52.1,0.101,,,,,
,Sam Cassell\cassesa01,1994,2008,993,30,15.7,3.2,6,1.1,0.2,0.454,0.331,0.861,87.5,0.141,,,,,
,World B. Free\freewo01,1976,1988,886,30.4,20.3,2.7,3.7,1,0.3,0.456,0.337,0.753,67.7,0.121,,,,,
,Stephon Marbury\marbust01,1997,2009,846,37.7,19.3,3,7.6,1.2,0.1,0.433,0.325,0.784,77.5,0.117,,,,,
,Fat Lever\leverfa01,1983,1994,752,31.7,13.9,6,6.2,2.2,0.3,0.447,0.31,0.771,61.2,0.123,,,,,
,Baron Davis\davisba01,2000,2012,835,34.2,16.1,3.8,7.2,1.8,0.4,0.409,0.32,0.711,63.1,0.106,,,,,
,Bill Bridges\bridgbi01,1963,1975,926,33.3,11.9,11.9,2.8,0.7,0.4,0.442,,0.693,59.9,0.093,,,,,
,Lamar Odom\odomla01,2000,2013,961,33.4,13.3,8.4,3.7,0.9,0.9,0.463,0.312,0.693,77,0.115,,,,,
,Kelly Tripucka\tripuke01,1982,1991,707,29.6,17.2,3.8,3,1,0.2,0.473,0.361,0.849,44.4,0.102,,,,,
,Wayne Embry\embrywa01,1959,1969,831,26.2,12.5,9.1,1.4,,,0.44,,0.64,37.8,0.083,,,,,
,Mookie Blaylock\blaylmo01,1990,2002,889,34.9,13.5,4.1,6.7,2.3,0.3,0.409,0.336,0.736,71.8,0.111,,,,,
,Alvan Adams\adamsal01,1976,1988,988,27.5,14.1,7,4.1,1.3,0.8,0.498,0.133,0.788,73.5,0.13,,,,,
,Carlos Boozer\boozeca01,2003,2015,861,31.2,16.2,9.5,2.2,0.9,0.4,0.521,0.071,0.722,80.3,0.143,,,,,
,Don Ohl\ohldo01,1961,1970,727,30.8,15.9,3,3.1,,,0.434,,0.732,30.2,0.065,,,,,
,Marcus Camby\cambyma01,1997,2013,973,29.5,9.5,9.8,1.9,1,2.4,0.466,0.205,0.67,81.6,0.137,,,,,
,Rod Strickland\stricro02,1989,2005,1094,30.7,13.2,3.7,7.3,1.5,0.2,0.454,0.282,0.721,85.8,0.122,,,,,
,Carl Braun\braunca01,1948,1962,788,29.8,13.5,3.4,3.7,,,0.383,,0.804,64.3,0.119,,,,,
,Jeff Malone\malonje01,1984,1996,905,32.8,19,2.6,2.4,0.6,0.1,0.484,0.268,0.871,54.2,0.088,,,,,
,Danny Manning\mannida01,1989,2003,883,27.4,14,5.2,2.3,1.1,0.9,0.511,0.206,0.729,55.1,0.109,,,,,
,Charles Oakley\oaklech01,1986,2004,1282,31.4,9.7,9.5,2.5,1.1,0.3,0.471,0.253,0.761,89.7,0.107,,,,,
,Sidney Wicks\wickssi01,1972,1981,760,33.9,16.8,8.7,3.2,1,0.7,0.459,0,0.685,42.4,0.079,,,,,
,John Williamson\willijo01,1977,1981,288,31.8,20.1,2.5,2.8,1.1,0.2,0.449,0.293,0.833,13.4,0.07,,,,,
,Arnie Risen\risenar01,1949,1958,637,28.3,12,9.7,1.7,,,0.381,,0.699,56,0.119,,,,,
,Cedric Maxwell\maxwece01,1978,1988,835,28.5,12.5,6.3,2.2,0.8,0.5,0.546,0.053,0.784,78.5,0.159,1,,,,
,Darrell Griffith\griffda01,1981,1991,765,28,16.2,3.3,2.1,1.2,0.3,0.463,0.332,0.707,22,0.049,,,,,
,Ray Scott\scottra01,1962,1970,684,31.2,14.9,10.5,2.4,,,0.405,,0.72,30.8,0.069,,,,,
,Cazzie Russell\russeca01,1967,1978,817,27.2,15.1,3.8,2.2,0.8,0.1,0.464,,0.827,51.7,0.112,,,,,
,Dale Ellis\ellisda01,1984,2000,1209,28.8,15.7,3.5,1.4,0.8,0.2,0.479,0.403,0.784,84.7,0.117,,,,,
,Reggie Lewis\lewisre01,1988,1993,450,32.6,17.6,4.3,2.6,1.3,0.9,0.488,0.2,0.824,38.9,0.127,,,,,
,Richard Hamilton\hamilri01,2000,2013,921,32.1,17.1,3.1,3.4,0.8,0.1,0.449,0.346,0.852,62.8,0.102,,,,,
,Michael Redd\reddmi01,2001,2012,629,32,19,3.8,2.1,0.9,0.1,0.447,0.38,0.838,55.9,0.134,,,,,
,Peja Stojaković\stojape01,1999,2011,804,33.5,17,4.7,1.8,0.9,0.1,0.45,0.401,0.895,82.6,0.147,,,,,
,Latrell Sprewell\sprewla01,1993,2005,913,38.6,18.3,4.1,4,1.4,0.4,0.425,0.337,0.804,56.3,0.077,,,,,
,Derek Harper\harpede01,1984,1999,1199,31.5,13.3,2.4,5.5,1.6,0.3,0.463,0.354,0.745,86.8,0.11,,,,,
,Steve Francis\francst01,2000,2008,576,37.6,18.1,5.6,6,1.5,0.4,0.429,0.341,0.797,54.1,0.12,,,,,
,Mickey Johnson\johnsmi01,1975,1986,904,27.7,14.1,7.2,3,1.1,0.7,0.449,0.165,0.8,58.6,0.113,,,,,
,Jason Richardson\richaja01,2002,2015,857,34.1,17.1,5,2.7,1.2,0.4,0.438,0.37,0.707,59.1,0.097,,,,,
,Purvis Short\shortpu01,1979,1990,842,29.2,17.3,4.3,2.5,1,0.2,0.474,0.282,0.824,51.1,0.1,,,,,
,Orlando Woolridge\woolror01,1982,1994,851,28.3,16,4.3,1.9,0.6,0.7,0.513,0.091,0.737,53,0.106,,,,,
,Austin Carr\carrau01,1972,1981,682,28.8,15.4,2.9,2.8,0.8,0.1,0.449,0.154,0.804,32.9,0.08,,,,,
,Max Zaslofsky\zasloma01,1947,1956,540,28.3,14.8,2.8,2,,,0.343,,0.769,48.3,0.057,,,,,
,Bill Laimbeer\laimbbi01,1981,1994,1068,31.8,12.9,9.7,2,0.7,0.9,0.498,0.326,0.837,105.6,0.149,,,,,
,Antawn Jamison\jamisan01,1999,2014,1083,34.8,18.5,7.5,1.6,1,0.4,0.451,0.346,0.724,87.8,0.112,,,,,
,Clark Kellogg\kellocl01,1983,1987,260,32.7,18.9,9.5,2.9,1.5,0.4,0.497,0.338,0.757,20.9,0.118,,,,,
,Antoine Walker\walkean02,1997,2008,893,35.3,17.5,7.7,3.5,1.2,0.5,0.414,0.325,0.633,38.1,0.058,,,,,
,Jim McMillian\mcmilji01,1971,1979,631,32.1,13.8,5.3,2.5,1.1,0.2,0.482,,0.832,46,0.109,,,,,
,Truck Robinson\robintr01,1975,1985,772,32.6,15.5,9.4,1.7,0.7,0.7,0.483,1,0.662,52.7,0.101,,,,,
,Jeff Ruland\rulanje01,1982,1993,332,33.4,17.4,10.2,3,0.8,0.8,0.564,0.158,0.718,34.3,0.149,,,,,
,A.C. Green\greenac01,1986,2001,1278,28.6,9.6,7.4,1.1,0.8,0.4,0.494,0.254,0.734,99.5,0.131,,,,,
,Walter Dukes\dukeswa01,1956,1963,553,26.5,10.4,11.3,1.1,,,0.369,,0.7,24,0.079,,,,,
,Zydrunas Ilgauskas\ilgauzy01,1998,2011,843,27.2,13,7.3,1.1,0.5,1.6,0.476,0.31,0.78,66.3,0.139,,,,,
,Quinn Buckner\bucknqu01,1977,1986,719,22.6,8.2,2.7,4.3,1.9,0.1,0.461,0.184,0.657,24.7,0.073,,,,,
,Glenn Robinson\robingl01,1995,2005,688,36.8,20.7,6.1,2.7,1.2,0.6,0.459,0.34,0.82,39.8,0.075,,,,,
,Bruce Bowen\bowenbr01,1997,2009,873,27.6,6.1,2.8,1.2,0.8,0.4,0.409,0.393,0.575,42.9,0.086,,,,,
,Detlef Schrempf\schrede01,1986,2001,1136,29.6,13.9,6.2,3.4,0.8,0.3,0.491,0.384,0.803,109.5,0.156,,,,,
,Terry Dischinger\dischte01,1963,1973,652,27.4,13.8,5.6,1.8,,,0.506,,0.758,56.3,0.152,,,,,
,Toni Kukoč\kukocto01,1994,2006,846,26.3,11.6,4.2,3.7,1,0.3,0.447,0.335,0.729,59.6,0.129,,,,,
,Mike Bibby\bibbymi01,1999,2012,1001,33.9,14.7,3.1,5.5,1.2,0.1,0.436,0.379,0.802,73.2,0.104,,,,,
,Ralph Sampson\sampsra01,1984,1992,456,29.8,15.4,8.8,2.3,0.9,1.6,0.486,0.172,0.661,20.1,0.071,,,,,
,Frank Ramsey\ramsefr01,1955,1964,623,24.6,13.4,5.5,1.8,,,0.399,,0.804,49.2,0.154,,,,,
,Anthony Mason\masonan01,1990,2003,882,34.7,10.9,8.3,3.4,0.7,0.3,0.509,0.167,0.709,88.3,0.138,,,,,
,Andre Miller\millean02,2000,2016,1304,30.9,12.5,3.7,6.5,1.2,0.2,0.461,0.217,0.807,100.8,0.12,,,,,
,Happy Hairston\hairsha01,1965,1975,776,31.4,14.8,10.3,1.6,0.8,0.2,0.478,,0.741,70,0.138,,,,,
,Shareef Abdur-Rahim\abdursh01,1997,2008,830,34.8,18.1,7.5,2.5,1,0.8,0.472,0.297,0.81,71.2,0.118,,,,,
,Doug Christie\chrisdo01,1993,2007,827,31.5,11.2,4.1,3.6,1.9,0.5,0.426,0.354,0.821,55.7,0.102,,,,,
,Geoff Petrie\petrige01,1971,1976,446,37.6,21.8,2.8,4.6,1.1,0.1,0.455,,0.805,26.1,0.075,,,,,
,Rony Seikaly\seikaro01,1989,1999,678,31.6,14.7,9.5,1.3,0.7,1.3,0.484,0.188,0.679,37.3,0.084,,,,,
,David West\westda01,2004,2018,1034,28.2,13.6,6.4,2.2,0.7,0.8,0.495,0.265,0.817,85.9,0.141,,,,,
,Eddie Jones\jonesed02,1995,2008,954,34.4,14.8,4,2.9,1.7,0.6,0.437,0.373,0.809,100.6,0.147,,,,,
,Dan Majerle\majerda01,1989,2002,955,31.6,11.4,4.5,2.9,1.3,0.4,0.431,0.358,0.741,78.5,0.125,,,,,
,John Lucas\lucasjo01,1977,1990,928,27.5,10.7,2.3,7,1.4,0.1,0.449,0.303,0.776,53.7,0.101,,,,,
,Jeff Hornacek\hornaje01,1987,2000,1077,31.5,14.5,3.4,4.9,1.4,0.2,0.496,0.403,0.877,108.9,0.154,,,,,
,Dan Roundfield\roundda01,1977,1987,746,31.4,15.2,9.7,2.2,0.9,1.5,0.485,0.115,0.738,65.2,0.134,,,,,
,Caldwell Jones\jonesca01,1977,1990,1068,24.8,6.2,7.2,1.3,0.4,1.4,0.473,0.065,0.753,44.3,0.08,,,,,
,Brian Winters\wintebr01,1975,1983,650,30.7,16.2,2.6,4.1,1.2,0.3,0.475,0.363,0.842,38.6,0.093,,,,,
,Otis Thorpe\thorpot01,1985,2001,1257,31.7,14,8.2,2.2,0.7,0.4,0.546,0.047,0.687,106.4,0.128,,,,,
,Jack Marin\marinja01,1967,1977,849,29,14.8,5.2,2.1,0.5,0.2,0.465,,0.843,59.3,0.116,,,,,
,Terrell Brandon\brandte01,1992,2002,724,29.8,13.8,3,6.1,1.6,0.3,0.448,0.355,0.873,65.9,0.147,,,,,
,Clifford Robinson\robincl02,1990,2007,1380,30.8,14.2,4.6,2.2,1,1,0.438,0.356,0.689,89.7,0.101,,,,,
,Zach Randolph\randoza01,2002,2018,1116,31,16.6,9.1,1.8,0.7,0.3,0.471,0.273,0.764,81.1,0.112,,,,,
,Scott Wedman\wedmasc01,1975,1987,906,28.6,13.2,4.8,2,0.9,0.3,0.481,0.335,0.794,53.7,0.099,,,,,
,Bob Boozer\boozebo01,1961,1971,874,29.2,14.8,8.1,1.4,,,0.462,,0.761,64.2,0.121,,,,,
,Rik Smits\smitsri01,1989,2000,867,26.6,14.8,6.1,1.4,0.4,1.3,0.507,0.115,0.773,56.6,0.118,,,,,
,Vlade Divac\divacvl01,1990,2005,1134,29.8,11.8,8.2,3.1,1.1,1.4,0.495,0.235,0.692,96.4,0.137,,,,,
,Sleepy Floyd\floydsl01,1983,1995,957,27.6,12.8,2.6,5.4,1.2,0.2,0.444,0.324,0.815,50.6,0.092,,,,,
,Doc Rivers\riverdo01,1984,1996,864,27.3,10.9,3,5.7,1.8,0.4,0.444,0.328,0.784,68.2,0.139,,,,,
,Larry Costello\costela01,1955,1968,706,30,12.2,3.8,4.6,,,0.438,,0.841,62.7,0.142,,,,,
,Xavier McDaniel\mcdanxa01,1986,1998,870,29,15.6,6.1,2,0.9,0.5,0.485,0.261,0.718,47.8,0.091,,,,,
,Eddie Johnson\johnsed02,1978,1987,675,29.6,15.1,2.3,5.1,1.1,0.1,0.476,0.326,0.791,41,0.098,,,,,
,Eddie Johnson\johnsed03,1982,1999,1199,27.2,16,4,2.1,0.6,0.2,0.472,0.335,0.84,65.6,0.097,,,,,
,Bill Cartwright\cartwbi01,1980,1995,963,28.5,13.2,6.3,1.4,0.5,0.7,0.525,0,0.771,72.8,0.127,,,,,
,Cliff Robinson\robincl01,1980,1992,629,30.7,17.2,8.3,2,1,0.7,0.468,0.184,0.722,30.5,0.076,,,,,
,Kenny Sears\searske01,1956,1964,529,28.2,13.9,7.8,1.6,,,0.455,,0.826,55.8,0.179,,,,,
,Michael Finley\finlemi01,1996,2010,1103,34.4,15.7,4.4,2.9,0.9,0.3,0.444,0.375,0.811,85.2,0.108,,,,,
,Phil Ford\fordph01,1979,1985,482,28,11.6,1.8,6.4,1.2,0.1,0.467,0.21,0.82,23.3,0.083,,,,,
,Jeff Mullins\mullije01,1965,1976,804,30.6,16.2,4.3,3.8,0.8,0.2,0.463,,0.814,62.8,0.123,,,,,
,Mel Hutchins\hutchme01,1952,1958,437,37.9,11.1,9.6,3,,,0.389,,0.673,27.9,0.081,,,,,
,Tom Gugliotta\guglito01,1993,2005,763,30.9,13,7.3,2.8,1.4,0.6,0.451,0.284,0.757,40.2,0.082,,,,,
,Nick Van Exel\vanexni01,1994,2006,880,32.9,14.4,2.9,6.6,0.8,0.1,0.405,0.357,0.794,55.9,0.093,,,,,
,Lucius Allen\allenlu01,1970,1979,702,28.7,13.4,3.1,4.5,1.5,0.3,0.463,,0.76,42,0.1,,,,,
,Mike Mitchell\mitchmi01,1979,1988,759,32.3,19.8,5.6,1.3,0.7,0.5,0.493,0.216,0.779,50.2,0.098,,,,,
,Jerry Stackhouse\stackje01,1996,2013,970,31.2,16.9,3.2,3.3,0.9,0.5,0.409,0.309,0.822,52.4,0.083,,,,,
,Don Chaney\chanedo01,1969,1980,742,23.5,8.4,3.9,2.1,1.2,0.5,0.438,0.167,0.776,35.5,0.098,,,,,
,Damon Stoudamire\stoudda01,1996,2008,878,33.2,13.4,3.5,6.1,1.1,0.1,0.406,0.357,0.833,55.4,0.091,,,,,
,Glen Rice\ricegl01,1990,2004,1000,35,18.3,4.4,2.1,1,0.3,0.456,0.4,0.846,88.7,0.122,,,,,
,Kenyon Martin\martike01,2001,2015,757,30.6,12.3,6.8,1.9,1.2,1.1,0.483,0.234,0.629,48,0.1,,,,,
,Calvin Natt\nattca01,1980,1990,599,31.4,17.2,6.8,2.2,0.9,0.3,0.528,0.219,0.768,57.2,0.146,,,,,
,Swen Nater\natersw01,1977,1984,489,28.4,12.2,10.8,2,0.5,0.5,0.537,0.25,0.76,36.9,0.128,,,,,
,Rashard Lewis\lewisra02,1999,2014,1049,32,14.9,5.2,1.7,1.1,0.5,0.452,0.386,0.805,90.9,0.13,,,,,
,Tom Sanders\sandeto01,1961,1973,916,24.2,9.6,6.3,1.1,,,0.428,,0.767,56.5,0.122,,,,,
,Sam Lacey\laceysa01,1971,1983,1002,31.8,10.3,9.7,3.7,1.3,1.5,0.441,0.188,0.738,50.9,0.077,,,,,
,Fred Brown\brownfr01,1972,1984,963,25.4,14.6,2.7,3.3,1.4,0.2,0.478,0.373,0.858,63.2,0.124,,,,,
,Elmore Smith\smithel01,1972,1979,562,31.8,13.4,10.6,1.4,0.8,2.9,0.482,,0.579,34.7,0.093,,,,,
,Joe Barry Carroll\carrojo01,1981,1991,705,32.4,17.7,7.7,1.8,1,1.6,0.474,0,0.747,35.6,0.075,,,,,
,Sam Perkins\perkisa01,1985,2001,1286,28.5,11.9,6,1.5,0.9,0.7,0.459,0.362,0.811,105.4,0.138,,,,,
,Dick Barnett\barnedi01,1960,1974,971,29.8,15.8,2.9,2.8,0.2,0,0.456,,0.761,68.7,0.114,,,,,
,Sean Elliott\elliose01,1990,2001,742,33,14.2,4.3,2.6,0.8,0.4,0.465,0.375,0.799,55.7,0.109,,,,,
,Dick Van Arsdale\vanardi01,1966,1977,921,34.5,16.4,4.1,3.3,0.9,0.2,0.464,,0.79,75.2,0.114,,,,,
,Tom Van Arsdale\vanarto01,1966,1977,929,30.9,15.3,4.2,2.2,0.7,0.1,0.431,,0.762,36.6,0.061,,,,,
,Slick Watts\wattssl01,1974,1979,437,26.3,8.9,3.2,6.1,2.2,0.3,0.413,,0.597,13.8,0.058,,,,,
,Tom Meschery\meschto01,1962,1971,778,30.2,12.7,8.6,1.7,,,0.441,,0.745,43.6,0.089,,,,,
,Theo Ratliff\ratlith01,1996,2011,810,25.3,7.2,5.7,0.6,0.5,2.4,0.496,0,0.71,47.9,0.112,,,,,
,Kenny Anderson\anderke01,1992,2005,858,30.1,12.6,3.1,6.1,1.5,0.1,0.421,0.346,0.79,62.5,0.116,,,,,
,Wayman Tisdale\tisdawa01,1986,1997,840,28.4,15.3,6.1,1.3,0.6,0.6,0.505,0,0.76,45.7,0.092,,,,,
,Ray Williams\willira01,1978,1987,655,28.2,15.5,3.6,5.8,1.8,0.3,0.451,0.237,0.802,37.1,0.096,,,,,
,Lionel Hollins\hollili01,1976,1985,673,27.4,11.6,2.4,4.5,1.6,0.3,0.444,0.149,0.741,22.9,0.059,,,,,
,Danny Ainge\aingeda01,1982,1995,1042,26.6,11.5,2.7,4,1.1,0.1,0.469,0.378,0.846,71.5,0.124,,,,,
,Kenny Smith\smithke01,1988,1997,737,30.1,12.8,2,5.5,1,0.1,0.48,0.399,0.829,46.8,0.101,,,,,
,Fred Carter\cartefr01,1970,1977,611,30,15.2,3.9,3.5,1.2,0.2,0.425,,0.693,14.8,0.039,,,,,
,Gerald Wallace\wallage01,2002,2015,832,29.7,11.9,5.8,2.1,1.4,0.8,0.469,0.312,0.709,59.7,0.116,,,,,
,Caron Butler\butleca01,2003,2016,881,32.2,14.1,5,2.3,1.3,0.2,0.434,0.348,0.847,50.9,0.086,,,,,
,Allan Houston\houstal01,1994,2005,839,33.7,17.3,2.9,2.4,0.7,0.2,0.444,0.402,0.863,55.3,0.094,,,,,
,Byron Scott\scottby01,1984,1997,1073,28.1,14.1,2.8,2.5,1.1,0.3,0.482,0.37,0.833,75.2,0.12,,,,,
,Ron Harper\harpero01,1987,2001,1009,30.9,13.8,4.3,3.9,1.7,0.7,0.446,0.289,0.72,65.8,0.101,,,,,
,Luke Jackson\jackslu01,1965,1972,522,26.4,9.9,8.8,1.6,,,0.415,,0.722,22.3,0.078,,,,,
,Lionel Simmons\simmoli01,1991,1997,454,29.7,12.8,6.2,3.3,1.1,0.8,0.433,0.305,0.771,16.9,0.06,,,,,
,Greg Ballard\ballagr01,1978,1989,802,27.5,12.4,6.1,2.2,1.1,0.3,0.472,0.338,0.787,54,0.117,,,,,
